Funcao,Programa,Atividade,Fonte de Recurso,valor liquidado
Habitacao,Apoio gerencial,Contribuicao Patronal,101000000,5953.5
Habitacao,Apoio gerencial,Manutencao da Tecnologia de Informacao e Comunicacao,101000000,42438.53
Habitacao,Apoio gerencial,Conservacao do Patrimonio Publico,101000000,863204.33
Habitacao,Apoio gerencial,Gestao das Atividades da Companhia Estadual de Habitacao e Obras - CEHAB,101000000,15398113.07
Habitacao,Apoio gerencial,Gestao das Atividades da Companhia Estadual de Habitacao e Obras - CEHAB,241000000,866963.19
Habitacao,Apoio gerencial,Concessao de Vale Transporte e Aux Alimentacao,101000000,14148.88
Habitacao,Melhoria da habitabilidade,Ampliacao da Oferta de Habitacao de Interesse Social,102003069,35240.18
Habitacao,Melhoria da habitabilidade,Ampliacao da Oferta de Habitacao de Interesse Social,140004702,738723.16
Habitacao,Melhoria da habitabilidade,Ampliacao da Oferta de Habitacao de Interesse Social,242004065,251623.52
Habitacao,Melhoria da habitabilidade,Ampliacao da Oferta de Habitacao de Interesse Social,242004636,177579.1
Habitacao,Melhoria da habitabilidade,Ampliacao da Oferta de Habitacao de Interesse Social,242004638,195118.37
Habitacao,Melhoria da habitabilidade,Execucao de Obras de Infraestrutura e de Urbanizacao,101000000,17003574.41
Habitacao,Melhoria da habitabilidade,Execucao de Obras de Infraestrutura e de Urbanizacao,102002513,313790.99
Habitacao,Melhoria da habitabilidade,Execucao de Obras de Infraestrutura e de Urbanizacao,102003082,4479947.99
Habitacao,Melhoria da habitabilidade,Execucao de Obras de Infraestrutura e de Urbanizacao,103002744,448763.72
Habitacao,Melhoria da habitabilidade,Execucao de Obras de Infraestrutura e de Urbanizacao,103002759,21474086.18
Habitação,Melhoria da habitabilidade,Execucao de Obras de Infraestrutura e de Urbanizacao,119000000,1528695.44
Habitação,Melhoria da habitabilidade,Execucao de Obras de Infraestrutura e de Urbanizacao,140004702,18673830.6